Classification,Is_In_Class_List,Classification_right,Is_Correct
Business,True,Business,True
Business,True,Sci/Tech,False
Business,True,Sci/Tech,False
Business,True,Business,True
Sports,True,Sports,True
Business,True,Business,True
Business,True,Business,True
Business,True,Business,True
World,True,Business,False
World,True,World,True
Sci/Tech,True,Sci/Tech,True
Business,True,Business,True
Sports,True,Sports,True
Sports,True,Sports,True
Business,True,Business,True
Sports,True,Sports,True
Business,True,Business,True
World,True,World,True
Sports,True,Sports,True
World,True,World,True
World,True,World,True
World,True,World,True
World,True,Business,False
Business,True,Business,True
Business,True,Business,True
Sports,True,Sports,True
World,True,World,True
Business,True,Business,True
World,True,World,True
Business,True,Business,True
Sci/Tech,True,Sci/Tech,True
Sports,True,Sports,True
World,True,World,True
Sports,True,Sports,True
Business,True,Business,True
World,True,Sports,False
Sports,True,Sports,True
Business,True,Sci/Tech,False
World,True,World,True
World,True,World,True
Business,True,Business,True
World,True,Sports,False
Business,True,Business,True
Business,True,Business,True
World,True,World,True
World,True,World,True
Business,True,Sci/Tech,False
World,True,Sports,False
World,True,Sports,False
Business,True,Business,True
Business,True,Business,True
Business,True,Business,True
Sci/Tech,True,Sci/Tech,True
World,True,Business,False
Sports,True,Sports,True
World,True,World,True
Business,True,Business,True
Business,True,Business,True
Business,True,Sci/Tech,False
Sci/Tech,True,Sci/Tech,True
Sci/Tech,True,Sci/Tech,True
Sports,True,Sports,True
Sci/Tech,True,Sci/Tech,True
Business,True,Business,True
World,True,Business,False
Sci/Tech,True,Sci/Tech,True
World,True,World,True
World,True,Sci/Tech,False
Sci/Tech,True,Sci/Tech,True
World,True,World,True
Business,True,Business,True
Sports,True,Sports,True
World,True,World,True
Sports,True,Sports,True
Business,True,Business,True
World,True,World,True
Sci/Tech,True,Sci/Tech,True
Business,True,Sci/Tech,False
Sports,True,Sports,True
World,True,World,True
Business,True,Business,True
Sports,True,World,False
World,True,World,True
Business,True,Business,True
World,True,Sports,False
Sci/Tech,True,Sci/Tech,True
Sports,True,Sports,True
Business,True,Business,True
Business,True,Sci/Tech,False
Business,True,Business,True
World,True,World,True
World,True,World,True
Business,True,Business,True
Sports,True,Sports,True
Sports,True,Sports,True
Sports,True,Sports,True
Business,True,Business,True
World,True,World,True
World,True,World,True
Sci/Tech,True,Sci/Tech,True
