Classification,Is_In_Class_List,Classification_right,Is_Correct
Simple string,False,Contradiction,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Contradiction,False
Simple string,False,Neutral,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Contradiction,False
Simple string,False,Contradiction,False
Simple string,False,Contradiction,False
Simple string,False,Neutral,False
Simple string,False,Contradiction,False
Simple string,False,Contradiction,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Entailment,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Contradiction,False
Simple string,False,Contradiction,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Entailment,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Entailment,False
Simple string,False,Contradiction,False
Simple string,False,Entailment,False
Simple string,False,Contradiction,False
Simple string,False,Contradiction,False
Simple string,False,Entailment,False
Simple string,False,Neutral,False
Simple string,False,Contradiction,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Entailment,False
Simple string,False,Neutral,False
Simple string,False,Contradiction,False
Simple string,False,Entailment,False
Simple string,False,Contradiction,False
Simple string,False,Contradiction,False
Simple string,False,Contradiction,False
Simple string,False,Contradiction,False
Simple string,False,Contradiction,False
Simple string,False,Entailment,False
Simple string,False,Contradiction,False
Simple string,False,Neutral,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Contradiction,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Contradiction,False
Simple string,False,Entailment,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Contradiction,False
Simple string,False,Contradiction,False
Simple string,False,Contradiction,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Contradiction,False
Simple string,False,Entailment,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Contradiction,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Contradiction,False
Simple string,False,Neutral,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Neutral,False
Simple string,False,Neutral,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Neutral,False
Simple string,False,Contradiction,False
Simple string,False,Contradiction,False
Simple string,False,Neutral,False
Simple string,False,Contradiction,False
