Classification,Is_In_Class_List,Classification_right,Is_Correct
Neutral,True,Contradiction,False
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Neutral,True,Contradiction,False
Entailment,True,Neutral,False
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Contradiction,True,Entailment,False
Contradiction,True,Contradiction,True
Neutral,True,Contradiction,False
Contradiction,True,Contradiction,True
Neutral,True,Neutral,True
Contradiction,True,Contradiction,True
Contradiction,True,Contradiction,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Neutral,True,Neutral,True
Entailment,True,Neutral,False
Entailment,True,Entailment,True
Entailment.,False,Entailment,False
Neutral,True,Neutral,True
Entailment,True,Neutral,False
Entailment,True,Neutral,False
Entailment,True,Entailment,True
Contradiction,True,Neutral,False
Neutral,True,Neutral,True
Contradiction,True,Contradiction,True
Contradiction,True,Contradiction,True
Entailment,True,Neutral,False
Entailment,True,Neutral,False
Entailment,True,Neutral,False
Entailment,True,Entailment,True
Entailment,True,Neutral,False
Entailment,True,Neutral,False
Entailment,True,Neutral,False
Entailment,True,Neutral,False
Entailment,True,Entailment,True
Contradiction,True,Contradiction,True
Entailment,True,Entailment,True
Contradiction,True,Contradiction,True
Contradiction,True,Contradiction,True
Entailment,True,Entailment,True
Neutral,True,Neutral,True
Contradiction,True,Contradiction,True
Entailment,True,Neutral,False
Entailment,True,Neutral,False
Neutral,True,Entailment,False
Neutral,True,Neutral,True
Contradiction,True,Contradiction,True
Entailment,True,Entailment,True
Neutral,True,Contradiction,False
Contradiction,True,Contradiction,True
Contradiction,True,Contradiction,True
Contradiction,True,Contradiction,True
Contradiction,True,Contradiction,True
Entailment,True,Entailment,True
Contradiction,True,Contradiction,True
Contradiction,True,Neutral,False
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Contradiction,True,Neutral,False
Entailment,True,Neutral,False
Neutral,True,Neutral,True
Contradiction,True,Contradiction,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Contradiction,True,Contradiction,True
Entailment,True,Entailment,True
Entailment,True,Neutral,False
Entailment,True,Neutral,False
Contradiction,True,Contradiction,True
Contradiction,True,Contradiction,True
Entailment,True,Contradiction,False
Contradiction,True,Neutral,False
Entailment,True,Neutral,False
Entailment,True,Neutral,False
Contradiction,True,Contradiction,True
Entailment,True,Entailment,True
Entailment,True,Neutral,False
Neutral,True,Neutral,True
Entailment,True,Neutral,False
Entailment,True,Neutral,False
Contradiction,True,Contradiction,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Contradiction,True,Contradiction,True
Entailment,True,Neutral,False
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Neutral,True,Neutral,True
Neutral,True,Neutral,True
Entailment,True,Entailment,True
Neutral,True,Entailment,False
Entailment,True,Neutral,False
Contradiction,True,Contradiction,True
Contradiction,True,Contradiction,True
Neutral,True,Neutral,True
Entailment,True,Contradiction,False
