Classification,Is_In_Class_List,Classification_right,Is_Correct
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
Simple string,False,Choice 2,False
Simple string,False,Choice 1,False
Simple string,False,Choice 1,False
