Classification,Is_In_Class_List,Classification_right,Is_Correct
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Entailment,False
Simple string,False,Entailment,False
Simple string,False,Not Entailment,False
Simple string,False,Not Entailment,False
