Classification,Is_In_Class_List,Classification_right,Is_Correct
Negative,True,Negative,True
Positive,True,Positive,True
Negative,True,Negative,True
Negative,True,Negative,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Positive,True
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Positive,False
Positive,True,Positive,True
Negative,True,Negative,True
Positive,True,Positive,True
Positive,True,Positive,True
Negative,True,Negative,True
Negative,True,Negative,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Positive,True
Negative,True,Negative,True
Negative,True,Positive,False
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Positive,True,Positive,True
Negative,True,Negative,True
Negative,True,Negative,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Negative,False
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Positive,True,Positive,True
Negative,True,Negative,True
Negative,True,Negative,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Positive,True
Negative,True,Negative,True
Positive,True,Positive,True
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Positive,True,Positive,True
Negative,True,Negative,True
Negative,True,Positive,False
Negative,True,Negative,True
Positive,True,Positive,True
Negative,True,Negative,True
Positive,True,Positive,True
Negative,True,Positive,False
Negative,True,Negative,True
Negative,True,Negative,True
Positive,True,Negative,False
Negative,True,Negative,True
Positive,True,Positive,True
Negative,True,Positive,False
Negative,True,Negative,True
Negative,True,Negative,True
Positive,True,Positive,True
Positive,True,Positive,True
Negative,True,Negative,True
Positive,True,Positive,True
Positive,True,Positive,True
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Positive,True
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Negative,True,Negative,True
Positive,True,Positive,True
Positive,True,Positive,True
Negative,True,Negative,True
Positive,True,Positive,True
Positive,True,Positive,True
Positive,True,Positive,True
Negative,True,Negative,True
