Classification,Is_In_Class_List,Classification_right,Is_Correct
Choice 1,True,Choice 2,False
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 2,False
Choice 2,True,Choice 2,True
Choice 1,True,Choice 2,False
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 2,False
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 2,False
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 2,False
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 1,False
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 2,False
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
Choice 2,True,Choice 2,True
Choice 1,True,Choice 1,True
Choice 1,True,Choice 1,True
