Classification,Is_In_Class_List,Classification_right,Is_Correct
Entailment,True,Entailment,True
Entailment,True,Not Entailment,False
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Not Entailment,False
Entailment,True,Not Entailment,False
Entailment,True,Entailment,True
Entailment,True,Not Entailment,False
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Not Entailment,True,Not Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Not Entailment,True,Entailment,False
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Not Entailment,False
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Not Entailment,True,Not Entailment,True
Entailment,True,Not Entailment,False
Not Entailment,True,Not Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Not Entailment,True,Not Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Not Entailment,True,Not Entailment,True
Entailment,True,Entailment,True
Entailment,True,Not Entailment,False
Not Entailment,True,Entailment,False
Entailment,True,Entailment,True
Not Entailment,True,Not Entailment,True
Entailment,True,Not Entailment,False
Not Entailment,True,Entailment,False
Not Entailment,True,Entailment,False
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Not Entailment,True,Entailment,False
Entailment,True,Entailment,True
Not Entailment,True,Not Entailment,True
Not Entailment,True,Entailment,False
Not Entailment,True,Not Entailment,True
Not Entailment,True,Not Entailment,True
Entailment,True,Not Entailment,False
Entailment,True,Entailment,True
Entailment,True,Not Entailment,False
Not Entailment,True,Entailment,False
Entailment,True,Not Entailment,False
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Not Entailment,False
Entailment,True,Entailment,True
Not Entailment,True,Not Entailment,True
Entailment,True,Entailment,True
Not Entailment,True,Not Entailment,True
Not Entailment,True,Not Entailment,True
Not Entailment,True,Not Entailment,True
Entailment,True,Not Entailment,False
Not Entailment,True,Not Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Not Entailment,False
Not Entailment,True,Not Entailment,True
Not Entailment,True,Not Entailment,True
Not Entailment,True,Not Entailment,True
Entailment,True,Not Entailment,False
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Entailment,True
Entailment,True,Not Entailment,False
Entailment,True,Entailment,True
Not Entailment,True,Not Entailment,True
Not Entailment,True,Entailment,False
Entailment,True,Entailment,True
Not Entailment,True,Not Entailment,True
Entailment,True,Entailment,True
Not Entailment,True,Not Entailment,True
Entailment,True,Entailment,True
Not Entailment,True,Not Entailment,True
Entailment,True,Entailment,True
Not Entailment,True,Entailment,False
Entailment,True,Not Entailment,False
Not Entailment,True,Entailment,False
Not Entailment,True,Not Entailment,True
Not Entailment,True,Entailment,False
Not Entailment,True,Entailment,False
Not Entailment,True,Not Entailment,True
Entailment,True,Not Entailment,False
