Classification,Is_In_Class_List,Classification_right,Is_Correct
Simple string,False,Business,False
Simple string,False,Sci/Tech,False
Simple string,False,Sci/Tech,False
Simple string,False,Business,False
Simple string,False,Sports,False
Simple string,False,Business,False
Simple string,False,Business,False
Simple string,False,Business,False
Simple string,False,Business,False
Simple string,False,World,False
Simple string,False,Sci/Tech,False
Simple string,False,Business,False
Simple string,False,Sports,False
Simple string,False,Sports,False
Simple string,False,Business,False
Simple string,False,Sports,False
Simple string,False,Business,False
Simple string,False,World,False
Simple string,False,Sports,False
Simple string,False,World,False
Simple string,False,World,False
Simple string,False,World,False
Simple string,False,Business,False
Simple string,False,Business,False
Simple string,False,Business,False
Simple string,False,Sports,False
Simple string,False,World,False
Simple string,False,Business,False
Simple string,False,World,False
Simple string,False,Business,False
Simple string,False,Sci/Tech,False
Simple string,False,Sports,False
Simple string,False,World,False
Simple string,False,Sports,False
Simple string,False,Business,False
Simple string,False,Sports,False
Simple string,False,Sports,False
Simple string,False,Sci/Tech,False
Simple string,False,World,False
Simple string,False,World,False
Simple string,False,Business,False
Simple string,False,Sports,False
Simple string,False,Business,False
Simple string,False,Business,False
Simple string,False,World,False
Simple string,False,World,False
Simple string,False,Sci/Tech,False
Simple string,False,Sports,False
Simple string,False,Sports,False
Simple string,False,Business,False
Simple string,False,Business,False
Simple string,False,Business,False
Simple string,False,Sci/Tech,False
Simple string,False,Business,False
Simple string,False,Sports,False
Simple string,False,World,False
Simple string,False,Business,False
Simple string,False,Business,False
Simple string,False,Sci/Tech,False
Simple string,False,Sci/Tech,False
Simple string,False,Sci/Tech,False
Simple string,False,Sports,False
Simple string,False,Sci/Tech,False
Simple string,False,Business,False
Simple string,False,Business,False
Simple string,False,Sci/Tech,False
Simple string,False,World,False
Simple string,False,Sci/Tech,False
Simple string,False,Sci/Tech,False
Simple string,False,World,False
Simple string,False,Business,False
Simple string,False,Sports,False
Simple string,False,World,False
Simple string,False,Sports,False
Simple string,False,Business,False
Simple string,False,World,False
Simple string,False,Sci/Tech,False
Simple string,False,Sci/Tech,False
Simple string,False,Sports,False
Simple string,False,World,False
Simple string,False,Business,False
Simple string,False,World,False
Simple string,False,World,False
Simple string,False,Business,False
Simple string,False,Sports,False
Simple string,False,Sci/Tech,False
Simple string,False,Sports,False
Simple string,False,Business,False
Simple string,False,Sci/Tech,False
Simple string,False,Business,False
Simple string,False,World,False
Simple string,False,World,False
Simple string,False,Business,False
Simple string,False,Sports,False
Simple string,False,Sports,False
Simple string,False,Sports,False
Simple string,False,Business,False
Simple string,False,World,False
Simple string,False,World,False
Simple string,False,Sci/Tech,False
